Issue key,Issue id,Summary,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Custom field (Closed Date),Created,Custom field (Rejected Date),Custom field (Triage Category),Custom field (Triage Assignment),Priority,Custom field (Assessed Date),Custom field (Analyzed Date)
SWDEV-232034,1576071,154246508 ROCclr misses licensing info,"CST,",Gibraltar,,,,,,28/Apr/20 2:27 PM,16/Apr/20 8:58 PM,,Radeon Open Compute,Installation and Packaging,P2 (Must Solve),17/Apr/20 4:02 PM,17/Apr/20 4:02 PM
SWDEV-232033,1576067,154264279 GPUs not running at full power with Xgemm,"CST,",Gibraltar,,,,,,12/May/20 1:37 PM,16/Apr/20 8:55 PM,,GPU Virtualization,Linux Guest Base Driver,P3 (Solution Desired),21/Apr/20 1:50 PM,21/Apr/20 1:51 PM
SWDEV-231907,1575311,[Gibraltar] V540 DPM state residency level stuck at 15,"CST,",Gibraltar,,,,,,,16/Apr/20 9:38 AM,16/Jul/20 4:06 AM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-231823,1574895,[Gibraltar] 154178519 multithreaded test fails in smi_integration_test,"CST,",Gibraltar,NicetoHave,SMILIB,,,,09/Oct/20 10:26 PM,16/Apr/20 12:45 AM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),23/Apr/20 3:32 AM,20/May/20 4:41 PM
SWDEV-231291,1571899,[Gibraltar]  153866897 GFX INIT register failed,"CST,",Gibraltar,,,,,,,13/Apr/20 11:27 AM,,GPU Virtualization,Hypervisor Driver,P3 (Solution Desired),,
SWDEV-231102,1570308, [Gibraltar][153729707] Pixel differences from Software num7 to Software num9,"CST,",Gibraltar,gibraltar_customer,VK_RELEASE_NOTES,,,,,10/Apr/20 12:39 PM,29/Jun/20 12:24 PM,Vulkan,Vulkan Linux,P1 (Gating),,
SWDEV-230957,1569497,[Gibraltar] 153681489 v340 eeprom format change? ,"CST,",Gibraltar,,,,,,,09/Apr/20 6:20 PM,21/Apr/20 1:46 PM,Firmware,VBIOS,Undefined,,
SWDEV-230877,1568876,[Gibraltar] 148389698 Firmware reflash does not recover gpus with AMDGIM_ERROR_PF_POST_VBIOS_FAIL and/or AMDGIM_ERROR,CST,Gibraltar,,,,,,22/Oct/20 11:16 PM,09/Apr/20 9:32 AM,,GPU Virtualization,Linux Guest Base Driver,P3 (Solution Desired),09/Oct/20 11:10 PM,09/Oct/20 11:11 PM
SWDEV-230811,1568538,"[Gibraltar] 153090571 two variants of migraphx package different .deb file sizes, but have virtually identical content, possible issue","CST,",Gibraltar,,,,,,01/May/20 12:55 PM,09/Apr/20 3:37 AM,01/May/20 12:55 PM,Radeon Open Compute,Installation and Packaging,Undefined,,
SWDEV-230751,1568273,[Gibraltar] 153592665 Add allcoated flag to smi_vf_config,"CST,",Gibraltar,,,,,,16/Jul/20 1:50 PM,08/Apr/20 8:14 PM,16/Jul/20 4:04 AM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-230556,1567020,[Gibraltar] 153332892 kernel traceback - amdgim_do_relvf,"CST,",Gibraltar,,,,,,,07/Apr/20 3:47 PM,12/May/20 11:42 AM,GPU Virtualization,Hypervisor Driver,P3 (Solution Desired),,
SWDEV-230555,1567016,[Gibraltar] 153466290 libgv 1.9.4 not probing v340,CST,Gibraltar,,,,,,,07/Apr/20 3:43 PM,27/Apr/20 9:55 AM,GPU Virtualization,Linux Guest Base Driver,Undefined,,
SWDEV-229853,1563213,[Gibraltar] 153090571 rocm package MIGraphX3.3.0 (and others) violates Debian's package name policy,3.5Critical,CST,Gibraltar,GibraltarML-external,,,,09/Oct/20 10:53 PM,02/Apr/20 2:45 PM,,Radeon Open Compute,Installation and Packaging,P1 (Gating),06/Apr/20 12:18 PM,06/May/20 5:29 PM
SWDEV-229715,1562149,[Gibraltar] 152977775 how and what to set in 'event_set' for gpuvsmi_event_read,CST,Gibraltar,SMILIB,,,,,09/Oct/20 10:25 PM,01/Apr/20 1:50 PM,,GPU Virtualization,GPUV-SMI-LIB,P2 (Must Solve),15/Apr/20 9:09 AM,30/Apr/20 1:04 PM
SWDEV-229714,1562144,[Gibraltar]152811343 compilation issue while enabling CONFIG_GIM_STATIC_ID,CST,gibraltar,,,,,,28/Jul/20 5:28 PM,01/Apr/20 1:46 PM,28/Jul/20 5:27 PM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-229203,1559408,20Q1 [ubuntu1804] guest amdgpu dkms driver load fails on Skylake V320,"CST,",Gibraltar,,,,,,,29/Mar/20 2:00 PM,,GPU Virtualization,Linux Guest Base Driver,P1 (Gating),01/Apr/20 2:47 AM,26/Apr/20 6:15 AM
SWDEV-228849,1556906,20Q1 [ubuntu1804] guest amdgpu dkms driver load fails with 2019Q3 host gim on Skylake V340,"CST,",Gibraltar,,,,,,20/Apr/20 2:59 PM,26/Mar/20 12:40 AM,09/Apr/20 8:50 PM,GPU Virtualization,Hypervisor Driver,P1 (Gating),01/Apr/20 2:45 AM,
SWDEV-228583,1555640,[Gibraltar][libGV][NV12] need to get Board Serial # for NV12,,,,,,,,,24/Mar/20 1:59 PM,13/Apr/20 3:00 PM,,,Undefined,,
SWDEV-228151,1553415,[Gibraltar]151964654 Get VF handle form VF BDF ,CST,Gibraltar,,,,,,,20/Mar/20 4:53 PM,13/Apr/20 3:03 PM,GPU Virtualization,Hypervisor Driver,Undefined,,
VCESWT-4421,1553406,[Gibraltar][152072484] Unexpected whitespace in output of amdvbflash,CST,Gibraltar,,,,,,,20/Mar/20 4:43 PM,,AMDVBFlash,AMDVBFlash,P2 (Must Solve),28/Apr/20 2:31 PM,28/Apr/20 2:32 PM
SWDEV-227127,1548003,[Gibraltar] 151339480 Invalid error returned during init,CST,Gibraltar,,,,,,16/Jul/20 1:50 PM,13/Mar/20 3:51 PM,16/Jul/20 4:03 AM,GPU Virtualization,Hypervisor Driver,Undefined,,
SWDEV-227126,1547996,[Gibraltar] 151456294 Serial number returned has a negative value on v540 ,CST,Gibraltar,,,,,,21/Jul/20 8:43 PM,13/Mar/20 3:44 PM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),12/May/20 1:55 PM,12/May/20 1:55 PM
