Issue key,Issue id,Summary,Labels,Labels,Labels,Labels,Labels,Labels,Labels,Custom field (Closed Date),Created,Custom field (Rejected Date),Custom field (Triage Category),Custom field (Triage Assignment),Priority,Custom field (Assessed Date),Custom field (Analyzed Date)
PLAT-45344,1313579,[Gibraltar] Master GPU Performance Issue observed with Q3RC6 VBIOS - 25% of the normal speed and only finished 150 XGEMM tests.,Gibraltar,,,,,,,06/Aug/19 3:37 PM,25/Apr/19 1:39 PM,,GPU,Program,P1 (Gating),,06/Aug/19 3:36 PM
SWDEV-187506,1312865,[Gibraltar][v320]VM-destroy3 (case 29) failed 5/5,CST,gibraltar,,,,,,,24/Apr/19 4:18 PM,,GPU Virtualization,General,P2 (Must Solve),17/Jun/19 9:29 PM,17/Jun/19 11:16 PM
SWDEV-187369,1312001,[Gibraltar][v320] DPM test failed with given option,CST,Gibraltar,v320,,,,,09/Dec/19 1:04 AM,23/Apr/19 5:53 PM,09/Dec/19 1:04 AM,GPU Virtualization,General,P3 (Solution Desired),,
SWDEV-186710,1307629,[Gibraltar] V320 amdgpu post error on VM,,,,,,,,16/Apr/19 2:16 PM,16/Apr/19 1:38 PM,16/Apr/19 2:15 PM,GPU Virtualization,General,Undefined,,
SWDEV-186586,1306908,[MSFT][Azure] Perf number for webgl on Firefox on VM is low. ,,,,,,,,,15/Apr/19 5:57 PM,06/Aug/19 3:58 PM,GPU Virtualization,OpenGL Windows,P2 (Must Solve),,
VCESWT-3645,1295828,"Amdvbflash reports the ""No VBIOS"" on one GPU while the gim is able to load and report it runs fine. ",Gibraltar,,,,,,,,29/Mar/19 1:46 PM,,AMDVBFlash,AMDVBFlash,P2 (Must Solve),11/Apr/19 11:47 PM,11/Apr/19 11:47 PM
SWDEV-184037,1291298,[Gibraltar][SRIOV] 3DMark test fail in 12 GPU / 12 VM test,gibraltar,,,,,,,19/Jun/19 9:22 PM,22/Mar/19 2:03 PM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),19/Jun/19 9:21 PM,19/Jun/19 9:21 PM
VCESWT-3600,1284063,[Gibraltar]atitool 1.13.0.9 crash at Customer's system.,,,,,,,,07/Aug/20 4:33 PM,12/Mar/19 12:53 PM,07/Aug/20 4:32 PM,ATITOOL,ATITool,P1 (Gating),,
VCESWT-3599,1283975,[Gibraltar][128425086]  agt core dump in V340 system. ,gibraltar,Gibraltar,gibraltar_customer,,,,,20/Mar/20 7:58 AM,12/Mar/19 12:31 PM,20/Mar/20 6:28 AM,AGT,AGT,P1 (Gating),,
LWPJAMASPPT-170,1266118,Request Jama access,,,,,,,,26/Feb/19 1:55 PM,13/Feb/19 12:20 PM,,,,Undefined,13/Feb/19 1:33 PM,13/Feb/19 1:33 PM
VCESWT-3539,1265467,"[Gibraltar] AGT  -i=0 -mcallhbmtemperature readback zero , ",Gibraltar,,,,,,,,12/Feb/19 3:19 PM,,AGT,AGT,P3 (Solution Desired),,
SWDEV-179798,1265290,[Gibraltar][SRIOV] LibGV please add board serial # to libGV api support.,Gibraltar,,,,,,,,12/Feb/19 11:41 AM,,,,P2 (Must Solve),,
SWDEV-179488,1263688,[Gibraltar][SRIOV] Nice to have features for field debugging. ,gibraltar,,,,,,,,08/Feb/19 1:22 PM,23/Oct/19 1:52 PM,,,P2 (Must Solve),,
SWDEV-179007,1259965,[Gibraltar][123650119] Vega10 passthrough multi session VM requirement for Devkit,gibraltar,gibraltar_customer,V320,,,,,18/Mar/20 1:13 AM,04/Feb/19 4:43 PM,,,,P2 (Must Solve),03/Jul/19 1:46 AM,03/Jul/19 1:47 AM
SWDEV-178022,1254458,[Gibraltar] Gim driver load failed after warm reboot - MI25-150W,CST,gibraltar,,,,,,11/Apr/19 3:37 PM,25/Jan/19 11:55 AM,,GPU Virtualization,General,P2 (Must Solve),08/Feb/19 10:51 AM,08/Feb/19 10:52 AM
VCESWT-3517,1252831,[Gibraltar 122920108] atitool core dump when try to collect pmlog,Gibraltar,,,,,,,,23/Jan/19 12:24 PM,,ATITOOL,ATITool,P1 (Gating),25/Feb/19 10:51 AM,01/Mar/19 5:54 PM
VCESWT-3501,1247738,agt -i coredump on system. ,Gibraltar,,,,,,,25/Feb/19 4:49 AM,15/Jan/19 3:17 PM,25/Feb/19 4:48 AM,AGT,AGT,P1 (Gating),,
VCESWT-3492,1245025,"Both customer/ internal team observed that AGT/Atitool hang with ""bad GPU"" HW",Gibraltar,,,,,,,,10/Jan/19 12:26 PM,25/Mar/20 1:52 PM,AGT,AGT,Undefined,,
SWDEV-174974,1238070,[Gibraltar][121269421]NMI watchdog: BUG: soft lockup after inserting gim driver,gibraltar,gibraltar_customer,,,,,,,21/Dec/18 11:29 AM,,GPU Virtualization,General,P1 (Gating),10/Jan/19 12:16 AM,28/Feb/19 8:54 PM
SWDEV-174265,1233855,[Gibraltar][MI25-300w] FB Scan Failed ,CST,Gibraltar,vega10,,,,,,13/Dec/18 11:44 AM,,GPU Virtualization,Hypervisor Driver,P2 (Must Solve),02/May/19 8:30 AM,02/May/19 8:31 AM
SWDEV-173168,1225876,[Gibraltar][MI25-300w] multiprocess failed with kernel error dmesg log from guest,CST,gibraltar,vega10,,,,,03/Jan/19 2:18 PM,03/Dec/18 1:35 PM,03/Jan/19 2:17 PM,GPU Virtualization,General,Undefined,,
SWDEV-167282,1190705,"Unable to run EGL program with amdgpu pro EGL lib, works fine with mesa open source EGL lib.",,,,,,,,,03/Oct/18 4:13 PM,,GPU Virtualization,OpenGL Workstation Linux,P3 (Solution Desired),17/Jan/19 8:38 PM,17/Apr/20 2:58 AM
SWDEV-163498,1169920,[Gibraltar] VCE DPM level can be changed on VM environment thru ATITOOL,gibraltar,,,,,,,,27/Aug/18 3:57 PM,,GPU Virtualization,Linux Guest Base Driver,P3 (Solution Desired),30/Jan/19 6:27 AM,30/Jan/19 6:27 AM
